protein-1,protein-2,value,type,links,FFL-X-1,FFL-X-2,FFL-X-12,FFL-X-1-R,FFL-X-2-R,FFL-X-12-R,FFL-Y-1,FFL-Y-2,FFL-Y-12,FFL-Y-1-R,FFL-Y-2-R,FFL-Y-12-R,FFL-Z-1,FFL-Z-2,FFL-Z-12,FFL-Z-1-R,FFL-Z-2-R,FFL-Z-12-R,DFFLUp-X-1,DFFLUp-X-2,DFFLUp-X-12,DFFLUp-X-1-R,DFFLUp-X-2-R,DFFLUp-X-12-R,DFFLUp-Y-1,DFFLUp-Y-2,DFFLUp-Y-12,DFFLUp-Y-1-R,DFFLUp-Y-2-R,DFFLUp-Y-12-R,DFFLDown-Y-1,DFFLDown-Y-2,DFFLDown-Y-12,DFFLDown-Y-1-R,DFFLDown-Y-2-R,DFFLDown-Y-12-R,DFFLDown-Z-1,DFFLDown-Z-2,DFFLDown-Z-12,DFFLDown-Z-1-R,DFFLDown-Z-2-R,DFFLDown-Z-12-R,C2-1,C2-2,C2-12,C2-1-R,C2-2-R,C2-12-R,C3-1,C3-2,C3-12,C3-1-R,C3-2-R,C3-12-R,C4-1,C4-2,C4-12,C4-1-R,C4-2-R,C4-12-R
sir2,hst1,545,ohnologue,1723,13989,171,0,7582,156,0,5392,1892,77,1768,1264,4,23,145,2,9,92,0,45,0,0,27,0,0,1,0,0,1,0,0,738,0,0,738,0,0,4,23,1,2,12,0,1,0,0,1,0,0,65,10,0,35,9,0,2015,297,8,1526,290,8
rsc2,rsc1,434,ohnologue,1429,2240,2162,63,1380,1396,24,6271,4252,520,3198,2097,125,139,78,10,56,45,3,4,10,0,2,10,0,6,5,0,2,3,0,590,40,0,267,33,0,24,14,3,13,10,1,1,1,0,0,0,0,48,22,0,25,14,0,1433,704,1,1110,575,1
stb6,stb2,401,ohnologue,271,14,290,0,8,200,0,1073,1804,123,628,1074,28,308,176,39,135,73,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,39,14,22,16,0,0,0,0,0,0,0,0,21,0,0,14,0,13,609,0,13,477,0
pip2,oaf1,374,ohnologue,2192,9604,6948,938,5182,4561,191,8486,4884,1035,3905,1974,143,85,59,21,55,28,3,22,39,6,17,35,2,32,16,10,23,10,3,3724,1098,395,2018,815,121,18,16,8,14,9,2,5,2,0,1,0,0,85,74,3,57,46,3,2587,2158,74,2117,1716,69
upc2,ecm22,362,ohnologue,819,1093,1514,227,809,1105,122,3363,4431,517,1974,2766,130,267,233,36,121,136,6,12,7,4,11,6,3,9,29,0,9,23,0,84,512,0,84,466,0,30,37,9,17,18,3,1,4,0,1,3,0,72,58,3,47,40,1,2328,1765,80,1920,1529,67
stp4,stp3,360,ohnologue,165,268,0,0,227,0,0,4497,0,0,2653,0,0,1234,679,278,420,328,47,1,0,0,1,0,0,63,0,0,43,0,0,161,0,0,137,0,0,163,70,38,74,30,6,2,0,0,1,0,0,77,0,0,64,0,0,2389,0,0,2192,0,0
met31,met32,360,ohnologue,886,577,3354,97,448,2586,49,3297,5952,385,1994,3264,129,199,297,21,102,135,4,2,35,0,1,29,0,8,48,0,5,34,0,66,695,0,57,564,0,34,49,6,20,26,2,1,4,0,0,2,0,40,157,7,26,116,7,1224,4796,131,1026,4100,128
nrg2,nrg1,307,ohnologue,1051,288,3803,268,245,2507,152,5294,11729,2687,3186,5042,658,755,627,161,295,198,23,2,19,2,2,17,2,0,87,0,0,52,0,0,1037,0,0,744,0,114,101,33,52,37,4,0,4,0,0,1,0,39,171,1,28,97,1,1094,5175,33,997,4039,29
spt23,mga2,306,ohnologue,2935,25377,3261,1049,11369,1861,313,8448,13163,1752,3585,5817,170,59,254,14,31,129,0,85,1,1,56,1,1,33,34,0,27,28,0,3413,777,0,2291,651,0,10,32,5,6,16,0,7,4,0,2,2,0,179,53,0,112,34,0,5493,1636,22,4418,1355,18
yhp1,yox1,286,ohnologue,2702,11895,14660,7591,4869,7183,1692,16017,25983,8287,6357,8368,838,460,1175,137,203,390,16,57,77,36,37,50,22,174,417,67,99,202,11,6555,8728,3733,2947,4790,579,93,99,37,52,28,4,11,22,1,2,5,1,333,667,33,163,352,16,10650,19921,1154,7300,14583,797
