protein-1,protein-2,value,type,links,FFL-X-1,FFL-X-2,FFL-X-12,FFL-X-1-R,FFL-X-2-R,FFL-X-12-R,FFL-Y-1,FFL-Y-2,FFL-Y-12,FFL-Y-1-R,FFL-Y-2-R,FFL-Y-12-R,FFL-Z-1,FFL-Z-2,FFL-Z-12,FFL-Z-1-R,FFL-Z-2-R,FFL-Z-12-R,DFFLUp-X-1,DFFLUp-X-2,DFFLUp-X-12,DFFLUp-X-1-R,DFFLUp-X-2-R,DFFLUp-X-12-R,DFFLUp-Y-1,DFFLUp-Y-2,DFFLUp-Y-12,DFFLUp-Y-1-R,DFFLUp-Y-2-R,DFFLUp-Y-12-R,DFFLDown-Y-1,DFFLDown-Y-2,DFFLDown-Y-12,DFFLDown-Y-1-R,DFFLDown-Y-2-R,DFFLDown-Y-12-R,DFFLDown-Z-1,DFFLDown-Z-2,DFFLDown-Z-12,DFFLDown-Z-1-R,DFFLDown-Z-2-R,DFFLDown-Z-12-R,C2-1,C2-2,C2-12,C2-1-R,C2-2-R,C2-12-R,C3-1,C3-2,C3-12,C3-1-R,C3-2-R,C3-12-R,C4-1,C4-2,C4-12,C4-1-R,C4-2-R,C4-12-R
sir2,hst1,545,ohnologue,1723,13989,171,0,9763,168,0,5392,1892,77,3217,1656,9,23,145,2,19,95,0,45,0,0,37,0,0,1,0,0,1,0,0,738,0,0,737,0,0,4,23,1,3,12,0,1,0,0,0,0,0,65,10,0,55,10,0,2015,297,8,1980,297,8
rsc2,rsc1,434,ohnologue,1429,2240,2162,63,2069,1961,52,6271,4252,520,4354,2737,158,139,78,10,79,53,1,4,10,0,4,10,0,6,5,0,6,5,0,590,40,0,586,40,0,24,14,3,16,8,0,1,1,0,0,1,0,48,22,0,48,20,0,1433,704,1,1428,699,1
stb6,stb2,401,ohnologue,271,14,290,0,14,287,0,1073,1804,123,916,1498,66,308,176,39,170,82,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,51,39,14,28,18,2,0,0,0,0,0,0,0,21,0,0,21,0,13,609,0,13,609,0
pip2,oaf1,374,ohnologue,2192,9604,6948,938,6695,5941,457,8486,4884,1035,4152,3471,414,85,59,21,61,47,12,22,39,6,20,35,4,32,16,10,30,15,8,3724,1098,395,3327,1053,268,18,16,8,16,14,7,5,2,0,1,1,0,85,74,3,70,66,3,2587,2158,74,2544,2147,74
upc2,ecm22,362,ohnologue,819,1093,1514,227,1086,1473,217,3363,4431,517,2847,3472,283,267,233,36,170,159,7,12,7,4,12,7,4,9,29,0,9,29,0,84,512,0,84,512,0,30,37,9,20,25,4,1,4,0,1,4,0,72,58,3,72,57,3,2328,1765,80,2328,1765,80
stp4,stp3,360,ohnologue,165,268,0,0,266,0,0,4497,0,0,3869,0,0,1234,679,278,509,384,110,1,0,0,1,0,0,63,0,0,61,0,0,161,0,0,161,0,0,163,70,38,90,43,19,2,0,0,1,0,0,77,0,0,77,0,0,2389,0,0,2389,0,0
met31,met32,360,ohnologue,886,577,3354,97,572,3175,94,3297,5952,385,2731,4663,248,199,297,21,127,189,10,2,35,0,2,35,0,8,48,0,8,48,0,66,695,0,66,694,0,34,49,6,26,37,6,1,4,0,1,3,0,40,157,7,40,145,7,1224,4796,131,1224,4750,131
nrg2,nrg1,307,ohnologue,1051,288,3803,268,287,3533,253,5294,11729,2687,4426,6805,1460,755,627,161,376,264,38,2,19,2,2,19,2,0,87,0,0,82,0,0,1037,0,0,1028,0,114,101,33,71,53,9,0,4,0,0,1,0,39,171,1,39,154,1,1094,5175,33,1094,5134,33
spt23,mga2,306,ohnologue,2935,25377,3261,1049,14753,2765,659,8448,13163,1752,4905,6698,261,59,254,14,50,152,0,85,1,1,74,1,1,33,34,0,33,34,0,3413,777,0,3363,777,0,10,32,5,9,18,1,7,4,0,5,4,0,179,53,0,157,51,0,5493,1636,22,5391,1625,22
yhp1,yox1,286,ohnologue,2702,11895,14660,7591,8059,9186,4167,16017,25983,8287,7495,9817,1250,460,1175,137,255,519,12,57,77,36,55,73,35,174,417,67,140,307,20,6555,8728,3733,5527,6360,2132,93,99,37,56,45,6,11,22,1,3,4,0,333,667,33,260,483,25,10650,19921,1154,10276,18800,1104
