ohnolog,other,value,type,key,DGDVS,PG0-0,PG0-1,PG0-2,PG0-3,PG0-4,PG0-5,PG0-6,PG0-7,PG1-0,PG1-1,PG1-2,PG1-3,PG1-4,PG1-5,PG1-6,PG1-7,PG1-8,PG1-9,PG1-10,PG1-11,PG1-12,PG1-13,PG1-14,PG2-0,PG2-1,PG2-2,PG2-3,PG2-4,PG2-5,PG2-6,PG2-7,PG3-0,PG3-1,PG3-2,PG3-3,PG3-4,PG3-5,PG3-6,PG3-7,PG4-0,PG4-1,PG4-2,PG4-3,PG4-4,PG5-0,PG5-1,PG5-2,PG5-3,PG5-4,PG5-5,PG5-6,PG5-7,PG5-8,PG5-9,PG5-10,PG5-11,PG5-12,PG5-13,PG5-14
fau,ssrS,,,,1.0,0,0,4,4,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,2,0,2,0,285,285,0,0,0,0,285,0,0,0,6,6,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
acrD,baeS,,,,1.0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
acs,dusB,,,,1.0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,566,0,0,0,0,566,0,0,0,2,2,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
actP,yjcH,,,,1.0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,566,0,0,0,0,566,0,0,0,2,2,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
glgC,hflC,,,,1.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,291,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glpE,hflX,,,,1.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,291,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hcp,poxB,,,,1.0,0,0,4,4,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,203,203,0,0,0,0,203,0,0,0,10,10,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
alaT,gltU,,,,1.0,0,0,2,2,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,3,0,3,0,180,180,0,0,0,0,180,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
casC,nuoG,,,,0.9576922312995451,0,0,4,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,443,438,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
aroA,csiD,,,,1.0,0,0,2,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,357,357,0,0,0,0,357,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ulaB,uxuB,,,,0.9999097595146027,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,295,0,0,0,0,291,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moeB,norW,,,,0.9995435205547007,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,165,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
