protein-1,protein-2,value,type,links,FFL-X-1,FFL-X-2,FFL-X-12,FFL-X-1-R,FFL-X-2-R,FFL-X-12-R,FFL-Y-1,FFL-Y-2,FFL-Y-12,FFL-Y-1-R,FFL-Y-2-R,FFL-Y-12-R,FFL-Z-1,FFL-Z-2,FFL-Z-12,FFL-Z-1-R,FFL-Z-2-R,FFL-Z-12-R,DFFLUp-X-1,DFFLUp-X-2,DFFLUp-X-12,DFFLUp-X-1-R,DFFLUp-X-2-R,DFFLUp-X-12-R,DFFLUp-Y-1,DFFLUp-Y-2,DFFLUp-Y-12,DFFLUp-Y-1-R,DFFLUp-Y-2-R,DFFLUp-Y-12-R,DFFLDown-Y-1,DFFLDown-Y-2,DFFLDown-Y-12,DFFLDown-Y-1-R,DFFLDown-Y-2-R,DFFLDown-Y-12-R,DFFLDown-Z-1,DFFLDown-Z-2,DFFLDown-Z-12,DFFLDown-Z-1-R,DFFLDown-Z-2-R,DFFLDown-Z-12-R,C2-1,C2-2,C2-12,C2-1-R,C2-2-R,C2-12-R,C3-1,C3-2,C3-12,C3-1-R,C3-2-R,C3-12-R,C4-1,C4-2,C4-12,C4-1-R,C4-2-R,C4-12-R
hst1,sir2,545,ohnologue,1723,171,13989,0,168,9763,0,1892,5392,77,1656,3217,9,145,23,2,95,19,0,0,45,0,0,37,0,0,1,0,0,1,0,0,738,0,0,737,0,23,4,1,12,3,0,0,1,0,0,0,0,10,65,0,10,55,0,297,2015,8,297,1980,8
rsc1,rsc2,434,ohnologue,1429,2162,2240,63,1961,2069,52,4252,6271,520,2737,4354,158,78,139,10,53,79,1,10,4,0,10,4,0,5,6,0,5,6,0,40,590,0,40,586,0,14,24,3,8,16,0,1,1,0,1,0,0,22,48,0,20,48,0,704,1433,1,699,1428,1
stb2,stb6,401,ohnologue,271,290,14,0,287,14,0,1804,1073,123,1498,916,66,176,308,39,82,170,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,51,14,18,28,2,0,0,0,0,0,0,21,0,0,21,0,0,609,13,0,609,13,0
oaf1,pip2,374,ohnologue,2192,6948,9604,938,5941,6695,457,4884,8486,1035,3471,4152,414,59,85,21,47,61,12,39,22,6,35,20,4,16,32,10,15,30,8,1098,3724,395,1053,3327,268,16,18,8,14,16,7,2,5,0,1,1,0,74,85,3,66,70,3,2158,2587,74,2147,2544,74
upc2,ecm22,362,ohnologue,819,1093,1514,227,1086,1473,217,3363,4431,517,2847,3472,283,267,233,36,170,159,7,12,7,4,12,7,4,9,29,0,9,29,0,84,512,0,84,512,0,30,37,9,20,25,4,1,4,0,1,4,0,72,58,3,72,57,3,2328,1765,80,2328,1765,80
stp3,stp4,360,ohnologue,165,0,268,0,0,266,0,0,4497,0,0,3869,0,679,1234,278,384,509,110,0,1,0,0,1,0,0,63,0,0,61,0,0,161,0,0,161,0,70,163,38,43,90,19,0,2,0,0,1,0,0,77,0,0,77,0,0,2389,0,0,2389,0
met31,met32,360,ohnologue,886,577,3354,97,572,3175,94,3297,5952,385,2731,4663,248,199,297,21,127,189,10,2,35,0,2,35,0,8,48,0,8,48,0,66,695,0,66,694,0,34,49,6,26,37,6,1,4,0,1,3,0,40,157,7,40,145,7,1224,4796,131,1224,4750,131
nrg1,nrg2,307,ohnologue,1051,3803,288,268,3533,287,253,11729,5294,2687,6805,4426,1460,627,755,161,264,376,38,19,2,2,19,2,2,87,0,0,82,0,0,1037,0,0,1028,0,0,101,114,33,53,71,9,4,0,0,1,0,0,171,39,1,154,39,1,5175,1094,33,5134,1094,33
spt23,mga2,306,ohnologue,2935,25377,3261,1049,14753,2765,659,8448,13163,1752,4905,6698,261,59,254,14,50,152,0,85,1,1,74,1,1,33,34,0,33,34,0,3413,777,0,3363,777,0,10,32,5,9,18,1,7,4,0,5,4,0,179,53,0,157,51,0,5493,1636,22,5391,1625,22
yhp1,yox1,286,ohnologue,2702,11895,14660,7591,8059,9186,4167,16017,25983,8287,7495,9817,1250,460,1175,137,255,519,12,57,77,36,55,73,35,174,417,67,140,307,20,6555,8728,3733,5527,6360,2132,93,99,37,56,45,6,11,22,1,3,4,0,333,667,33,260,483,25,10650,19921,1154,10276,18800,1104
