protein-1,protein-2,value,type,links,FFL-X-1,FFL-X-2,FFL-X-12,FFL-X-1-R,FFL-X-2-R,FFL-X-12-R,FFL-Y-1,FFL-Y-2,FFL-Y-12,FFL-Y-1-R,FFL-Y-2-R,FFL-Y-12-R,FFL-Z-1,FFL-Z-2,FFL-Z-12,FFL-Z-1-R,FFL-Z-2-R,FFL-Z-12-R,DFFLUp-X-1,DFFLUp-X-2,DFFLUp-X-12,DFFLUp-X-1-R,DFFLUp-X-2-R,DFFLUp-X-12-R,DFFLUp-Y-1,DFFLUp-Y-2,DFFLUp-Y-12,DFFLUp-Y-1-R,DFFLUp-Y-2-R,DFFLUp-Y-12-R,DFFLDown-Y-1,DFFLDown-Y-2,DFFLDown-Y-12,DFFLDown-Y-1-R,DFFLDown-Y-2-R,DFFLDown-Y-12-R,DFFLDown-Z-1,DFFLDown-Z-2,DFFLDown-Z-12,DFFLDown-Z-1-R,DFFLDown-Z-2-R,DFFLDown-Z-12-R,C2-1,C2-2,C2-12,C2-1-R,C2-2-R,C2-12-R,C3-1,C3-2,C3-12,C3-1-R,C3-2-R,C3-12-R,C4-1,C4-2,C4-12,C4-1-R,C4-2-R,C4-12-R
sir2,hst1,545,ohnologue,1723,13989,171,0,10,24,0,5392,1892,77,14,27,0,23,145,2,1,0,0,45,0,0,1,0,0,1,0,0,0,0,0,738,0,0,0,0,0,4,23,1,0,0,0,1,0,0,0,0,0,65,10,0,0,1,0,2015,297,8,117,61,1
rsc2,rsc1,434,ohnologue,1429,2240,2162,63,23,11,0,6271,4252,520,6,23,0,139,78,10,0,0,0,4,10,0,0,0,0,6,5,0,0,1,0,590,40,0,0,28,0,24,14,3,0,0,0,1,1,0,0,0,0,48,22,0,0,0,0,1433,704,1,84,62,0
stb6,stb2,401,ohnologue,271,14,290,0,3,18,0,1073,1804,123,8,14,0,308,176,39,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,39,14,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,13,609,0,9,72,0
pip2,oaf1,374,ohnologue,2192,9604,6948,938,4,22,0,8486,4884,1035,12,4,0,85,59,21,0,0,0,22,39,6,0,1,0,32,16,10,0,0,0,3724,1098,395,0,0,0,18,16,8,0,0,0,5,2,0,0,0,0,85,74,3,0,1,0,2587,2158,74,60,94,3
upc2,ecm22,362,ohnologue,819,1093,1514,227,31,31,0,3363,4431,517,26,12,0,267,233,36,3,0,0,12,7,4,1,0,0,9,29,0,0,1,0,84,512,0,6,57,0,30,37,9,0,1,0,1,4,0,0,0,0,72,58,3,1,0,0,2328,1765,80,258,130,13
stp4,stp3,360,ohnologue,165,268,0,0,13,0,0,4497,0,0,52,0,0,1234,679,278,0,1,0,1,0,0,1,0,0,63,0,0,0,0,0,161,0,0,8,0,0,163,70,38,1,0,0,2,0,0,0,0,0,77,0,0,1,0,0,2389,0,0,221,0,0
met31,met32,360,ohnologue,886,577,3354,97,48,33,1,3297,5952,385,31,20,0,199,297,21,0,0,0,2,35,0,1,1,0,8,48,0,3,0,0,66,695,0,49,105,0,34,49,6,0,0,0,1,4,0,0,0,0,40,157,7,1,1,0,1224,4796,131,170,270,8
nrg2,nrg1,307,ohnologue,1051,288,3803,268,22,36,0,5294,11729,2687,29,8,0,755,627,161,0,0,0,2,19,2,1,1,1,0,87,0,0,0,0,0,1037,0,0,4,0,114,101,33,0,1,0,0,4,0,0,0,0,39,171,1,0,0,0,1094,5175,33,121,210,2
spt23,mga2,306,ohnologue,2935,25377,3261,1049,9,0,0,8448,13163,1752,43,6,0,59,254,14,1,1,0,85,1,1,0,0,0,33,34,0,1,3,0,3413,777,0,68,18,0,10,32,5,0,1,0,7,4,0,0,0,0,179,53,0,0,0,0,5493,1636,22,400,84,2
yhp1,yox1,286,ohnologue,2702,11895,14660,7591,5,11,0,16017,25983,8287,5,21,0,460,1175,137,0,1,0,57,77,36,0,0,0,174,417,67,0,2,0,6555,8728,3733,6,40,0,93,99,37,1,0,0,11,22,1,0,0,0,333,667,33,0,2,0,10650,19921,1154,217,408,3
